,1A,2A,3A,1B,2B,3B,1C,2C,3C
0,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,71.28962465355585,999.0
1,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,71.40288154200502,999.0
2,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,71.61011092983334,999.0
3,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,71.87839612599831,999.0
4,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,72.19576809246826,999.0
5,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,72.55514348359081,999.0
6,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,72.95161634072721,999.0
7,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,73.38148508705481,999.0
8,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,73.84179519064035,999.0
9,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,74.33010140308411,999.0
10,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,74.84432555517525,999.0
11,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,75.38265799186621,999.0
12,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,75.94350818594326,999.0
13,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,76.52545486568968,999.0
14,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,77.12721711729496,999.0
15,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,77.74763150244439,999.0
16,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,78.38563456804823,999.0
17,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,79.04024918717154,999.0
18,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,79.71057364892,999.0
19,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,80.39577284315732,999.0
20,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,81.09507096581731,999.0
21,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,81.80774544161078,999.0
22,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,82.53312176876044,999.0
23,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,83.27056910780487,999.0
